Country,Year,Emission
Asia,1751,0
Asia,1752,0
Asia,1753,0
Asia,1754,0
Asia,1755,0
Asia,1756,0
Asia,1757,0
Asia,1758,0
Asia,1759,0
Asia,1760,0
Asia,1761,0
Asia,1762,0
Asia,1763,0
Asia,1764,0
Asia,1765,0
Asia,1766,0
Asia,1767,0
Asia,1768,0
Asia,1769,0
Asia,1770,0
Asia,1771,0
Asia,1772,0
Asia,1773,0
Asia,1774,0
Asia,1775,0
Asia,1776,0
Asia,1777,0
Asia,1778,0
Asia,1779,0
Asia,1780,0
Asia,1781,0
Asia,1782,0
Asia,1783,0
Asia,1784,0
Asia,1785,0
Asia,1786,0
Asia,1787,0
Asia,1788,0
Asia,1789,0
Asia,1790,0
Asia,1791,0
Asia,1792,0
Asia,1793,0
Asia,1794,0
Asia,1795,0
Asia,1796,0
Asia,1797,0
Asia,1798,0
Asia,1799,0
Asia,1800,0
Asia,1801,0
Asia,1802,0
Asia,1803,0
Asia,1804,0
Asia,1805,0
Asia,1806,0
Asia,1807,0
Asia,1808,0
Asia,1809,0
Asia,1810,0
Asia,1811,0
Asia,1812,0
Asia,1813,0
Asia,1814,0
Asia,1815,0
Asia,1816,0
Asia,1817,0
Asia,1818,0
Asia,1819,0
Asia,1820,0
Asia,1821,0
Asia,1822,0
Asia,1823,0
Asia,1824,0
Asia,1825,0
Asia,1826,0
Asia,1827,0
Asia,1828,0
Asia,1829,0
Asia,1830,0
Asia,1831,0
Asia,1832,0
Asia,1833,0
Asia,1834,0
Asia,1835,0
Asia,1836,0
Asia,1837,0
Asia,1838,0
Asia,1839,0
Asia,1840,0
Asia,1841,0
Asia,1842,0
Asia,1843,0
Asia,1844,0
Asia,1845,0
Asia,1846,0
Asia,1847,0
Asia,1848,0
Asia,1849,0
Asia,1850,0
Asia,1851,0
Asia,1852,0
Asia,1853,0
Asia,1854,0
Asia,1855,0
Asia,1856,0
Asia,1857,0
Asia,1858,436016
Asia,1859,1139504
Asia,1860,2128784
Asia,1861,3187680
Asia,1862,4151312
Asia,1863,5224864
Asia,1864,6129872
Asia,1865,7177776
Asia,1866,8581088
Asia,1867,11428016
Asia,1868,14025792
Asia,1869,16759136
Asia,1870,19400880
Asia,1871,22522608
Asia,1872,25944784
Asia,1873,29839616
Asia,1874,34012912
Asia,1875,39307392
Asia,1876,44993920
Asia,1877,51068832
Asia,1878,56678416
Asia,1879,63955120
Asia,1880,72331024
Asia,1881,81164928
Asia,1882,90544768
Asia,1883,100591456
Asia,1884,112752272
Asia,1885,126745088
Asia,1886,141639248
Asia,1887,158533952
Asia,1888,177187376
Asia,1889,198229728
Asia,1890,221990768
Asia,1891,248144400
Asia,1892,262313088
Asia,1893,277474720
Asia,1894,295300080
Asia,1895,314792560
Asia,1896,335336608
Asia,1897,357503808
Asia,1898,384577104
Asia,1899,411965504
Asia,1900,445879488
Asia,1901,486297072
Asia,1902,527923776
Asia,1903,571917424
Asia,1904,620370160
Asia,1905,671120224
Asia,1906,727794976
Asia,1907,789024080
Asia,1908,854492432
Asia,1909,919436832
Asia,1910,989694032
Asia,1911,1066583072
Asia,1912,1149547024
Asia,1913,1238977936
Asia,1914,1335777152
Asia,1915,1424955248
Asia,1916,1518944176
Asia,1917,1623133680
Asia,1918,1734325088
Asia,1919,1853119296
Asia,1920,1971832896
Asia,1921,2081555040
Asia,1922,2198312064
Asia,1923,2322803792
Asia,1924,2454715120
Asia,1925,2592976160
Asia,1926,2732237472
Asia,1927,2882175680
Asia,1928,3039126784
Asia,1929,3200350112
Asia,1930,3350215040
Asia,1931,3485478928
Asia,1932,3619988032
Asia,1933,3770955824
Asia,1934,3936099632
Asia,1935,4111396384
Asia,1936,4303595168
Asia,1937,4511831280
Asia,1938,4729399600
Asia,1939,4956838736
Asia,1940,5211277888
Asia,1941,5470729392
Asia,1942,5701085072
Asia,1943,5942135968
Asia,1944,6158502496
Asia,1945,6281979296
Asia,1946,6383549040
Asia,1947,6513496464
Asia,1948,6668516640
Asia,1949,6856062144
Asia,1950,7061433008
Asia,1951,7297387280
Asia,1952,7552203824
Asia,1953,7824534288
Asia,1954,8111601360
Asia,1955,8415698704
Asia,1956,8747404288
Asia,1957,9109176656
Asia,1958,9478778992
Asia,1959,10083276580
Asia,1960,10751536643
Asia,1961,11492925566
Asia,1962,12272302996
Asia,1963,13120269028
Asia,1964,14041935103
Asia,1965,15038942019
Asia,1966,16104284009
Asia,1967,17290511091
Asia,1968,18593519699
Asia,1969,20032535693
Asia,1970,21667211686
Asia,1971,23405991514
Asia,1972,25232044483
Asia,1973,27185890346
Asia,1974,29162156801
Asia,1975,31145470185
Asia,1976,33227863888
Asia,1977,35416893279
Asia,1978,37642520283
Asia,1979,39965166895
Asia,1980,42333173859
Asia,1981,44678314510
Asia,1982,47028156371
Asia,1983,49408191625
Asia,1984,51889315419
Asia,1985,54443183133
Asia,1986,57037789977
Asia,1987,59717976405
Asia,1988,62611173211
Asia,1989,65602667518
Asia,1990,68637505844
Asia,1991,71745193845
Asia,1992,74900566346
Asia,1993,78104864949
Asia,1994,81381826684
Asia,1995,84738039393
Asia,1996,88203759764
Asia,1997,91761608164
Asia,1998,95142752227
Asia,1999,98637580592
Asia,2000,102000000000
Asia,2001,106000000000
Asia,2002,110000000000
Asia,2003,114000000000
Asia,2004,118000000000
Asia,2005,122000000000
Asia,2006,126000000000
Asia,2007,131000000000
Asia,2008,135000000000
Asia,2009,139000000000
Asia,2010,144000000000
Asia,2011,149000000000
Asia,2012,154000000000
Asia,2013,158000000000
Asia,2014,163000000000
Asia,2015,168000000000
Asia,2016,173000000000
Asia,2017,178000000000
Americas,1751,0
Americas,1752,0
Americas,1753,0
Americas,1754,0
Americas,1755,0
Americas,1756,0
Americas,1757,0
Americas,1758,0
Americas,1759,0
Americas,1760,0
Americas,1761,0
Americas,1762,0
Americas,1763,0
Americas,1764,0
Americas,1765,0
Americas,1766,0
Americas,1767,0
Americas,1768,0
Americas,1769,0
Americas,1770,0
Americas,1771,0
Americas,1772,0
Americas,1773,0
Americas,1774,0
Americas,1775,0
Americas,1776,0
Americas,1777,0
Americas,1778,0
Americas,1779,0
Americas,1780,0
Americas,1781,0
Americas,1782,0
Americas,1783,0
Americas,1784,0
Americas,1785,3664
Americas,1786,7328
Americas,1787,10992
Americas,1788,14656
Americas,1789,18320
Americas,1790,21984
Americas,1791,25648
Americas,1792,29312
Americas,1793,32976
Americas,1794,36640
Americas,1795,40304
Americas,1796,43968
Americas,1797,47632
Americas,1798,51296
Americas,1799,54960
Americas,1800,58624
Americas,1801,62288
Americas,1802,65952
Americas,1803,69616
Americas,1804,73280
Americas,1805,76944
Americas,1806,80608
Americas,1807,84272
Americas,1808,87936
Americas,1809,91600
Americas,1810,95264
Americas,1811,98928
Americas,1812,102592
Americas,1813,106256
Americas,1814,109920
Americas,1815,113584
Americas,1816,117248
Americas,1817,120912
Americas,1818,124576
Americas,1819,128240
Americas,1820,131904
Americas,1821,135568
Americas,1822,139232
Americas,1823,142896
Americas,1824,146560
Americas,1825,150224
Americas,1826,153888
Americas,1827,157552
Americas,1828,161216
Americas,1829,164880
Americas,1830,168544
Americas,1831,172208
Americas,1832,175872
Americas,1833,179536
Americas,1834,183200
Americas,1835,186864
Americas,1836,190528
Americas,1837,194192
Americas,1838,197856
Americas,1839,201520
Americas,1840,205184
Americas,1841,208848
Americas,1842,212512
Americas,1843,216176
Americas,1844,219840
Americas,1845,223504
Americas,1846,252816
Americas,1847,285792
Americas,1848,322432
Americas,1849,370064
Americas,1850,428688
Americas,1851,498304
Americas,1852,582576
Americas,1853,688832
Americas,1854,813408
Americas,1855,959968
Americas,1856,1139504
Americas,1857,1359344
Americas,1858,1623152
Americas,1859,1938256
Americas,1860,2319312
Americas,1861,2777312
Americas,1862,3337904
Americas,1863,4041392
Americas,1864,4884112
Americas,1865,5902704
Americas,1866,7144800
Americas,1867,8738640
Americas,1868,9680288
Americas,1869,10365456
Americas,1870,11589232
Americas,1871,13369936
Americas,1872,15216592
Americas,1873,16828752
Americas,1874,18448240
Americas,1875,20324208
Americas,1876,22181856
Americas,1877,24204384
Americas,1878,26138976
Americas,1879,28322720
Americas,1880,33554912
Americas,1881,39142512
Americas,1882,45756032
Americas,1883,53186624
Americas,1884,61789696
Americas,1885,70037360
Americas,1886,78841952
Americas,1887,90083104
Americas,1888,104292096
Americas,1889,117339600
Americas,1890,131138224
Americas,1891,146585648
Americas,1892,162505728
Americas,1893,179488368
Americas,1894,196240176
Americas,1895,213098240
Americas,1896,231209392
Americas,1897,249452448
Americas,1898,269073168
Americas,1899,292709632
Americas,1900,317500256
Americas,1901,349061952
Americas,1902,383514544
Americas,1903,420711472
Americas,1904,464195824
Americas,1905,510501456
Americas,1906,562138208
Americas,1907,624074464
Americas,1908,690140048
Americas,1909,752651552
Americas,1910,825737360
Americas,1911,913695344
Americas,1912,1009787408
Americas,1913,1122158624
Americas,1914,1218170080
Americas,1915,1309018960
Americas,1916,1416692928
Americas,1917,1539458912
Americas,1918,1671381232
Americas,1919,1802109088
Americas,1920,1978439088
Americas,1921,2164643568
Americas,1922,2337544064
Americas,1923,2523536032
Americas,1924,2694773072
Americas,1925,2855428480
Americas,1926,3025401440
Americas,1927,3192402896
Americas,1928,3373818528
Americas,1929,3569278272
Americas,1930,3759960160
Americas,1931,3918717616
Americas,1932,4074016256
Americas,1933,4236331456
Americas,1934,4420766224
Americas,1935,4617493712
Americas,1936,4824714896
Americas,1937,5065494656
Americas,1938,5299587616
Americas,1939,5539345120
Americas,1940,5786925264
Americas,1941,6057456704
Americas,1942,6305538816
Americas,1943,6584739280
Americas,1944,6889162720
Americas,1945,7199415584
Americas,1946,7594306848
Americas,1947,7952649712
Americas,1948,8337267120
Americas,1949,8596125056
Americas,1950,8912518784
Americas,1951,9266490496
Americas,1952,9625558832
Americas,1953,9985568816
Americas,1954,10365954304
Americas,1955,10774373056
Americas,1956,11223279008
Americas,1957,11684404400
Americas,1958,12139568464
Americas,1959,12619700279
Americas,1960,13110767380
Americas,1961,13610105366
Americas,1962,14141338876
Americas,1963,14676534040
Americas,1964,15264001559
Americas,1965,15876411904
Americas,1966,16513466966
Americas,1967,17202440666
Americas,1968,17938791516
Americas,1969,18716543170
Americas,1970,19577194050
Americas,1971,20474239932
Americas,1972,21425741192
Americas,1973,22430167407
Americas,1974,23476655535
Americas,1975,24538461404
Americas,1976,25644500721
Americas,1977,26780676071
Americas,1978,27977569203
Americas,1979,29255379311
Americas,1980,30575202005
Americas,1981,31872421745
Americas,1982,33178160301
Americas,1983,34436668651
Americas,1984,35726453419
Americas,1985,37039541856
Americas,1986,38354714082
Americas,1987,39741104420
Americas,1988,41175124958
Americas,1989,42676170902
Americas,1990,44139315940
Americas,1991,45610299952
Americas,1992,47114212624
Americas,1993,48656871827
Americas,1994,50253627689
Americas,1995,51873213217
Americas,1996,53561428365
Americas,1997,55328368455
Americas,1998,57177221097
Americas,1999,59067565309
Americas,2000,60974588046
Americas,2001,62905083846
Americas,2002,64857939638
Americas,2003,66861915212
Americas,2004,68873832710
Americas,2005,70950783125
Americas,2006,73065649503
Americas,2007,75233665397
Americas,2008,77460245651
Americas,2009,79617865087
Americas,2010,81871783973
Americas,2011,84166563311
Americas,2012,86541969037
Americas,2013,88948744132
Americas,2014,91391915488
Americas,2015,93827469251
Americas,2016,96242527324
Americas,2017,98641159642
Europe,1751,9350528
Europe,1752,18704720
Europe,1753,28058912
Europe,1754,37416768
Europe,1755,46778288
Europe,1756,56784672
Europe,1757,66794720
Europe,1758,76808432
Europe,1759,86825808
Europe,1760,96843184
Europe,1761,107816864
Europe,1762,118794208
Europe,1763,129775216
Europe,1764,140759888
Europe,1765,151748224
Europe,1766,164007968
Europe,1767,176271376
Europe,1768,188538448
Europe,1769,200809184
Europe,1770,213083584
Europe,1771,226695344
Europe,1772,240310768
Europe,1773,253929856
Europe,1774,267552608
Europe,1775,281179024
Europe,1776,296216080
Europe,1777,311256800
